Team,Opponent,Wins,Losses
BAL,BOS,6,4
BAL,CHW,2,2
BAL,CLE,5,1
BAL,DET,3,1
BAL,HOU,0,3
BAL,KC,4,2
BAL,LAA,4,2
BAL,MIN,5,1
BAL,NYY,5,5
BAL,OAK,2,1
BAL,SEA,1,6
BAL,TB,9,3
BAL,TEX,3,3
BAL,TOR,6,7
BAL,NL,6,4
BOS,BAL,4,6
BOS,CHW,3,4
BOS,CLE,3,2
BOS,DET,0,3
BOS,HOU,5,2
BOS,KC,1,2
BOS,LAA,4,3
BOS,MIN,4,3
BOS,NYY,6,3
BOS,OAK,3,0
BOS,SEA,3,3
BOS,TB,5,4
BOS,TEX,3,3
BOS,TOR,6,7
BOS,NL,8,3
CHW,BAL,2,2
CHW,BOS,4,3
CHW,CLE,2,7
CHW,DET,4,8
CHW,HOU,3,3
CHW,KC,2,7
CHW,LAA,2,5
CHW,MIN,9,3
CHW,NYY,3,3
CHW,OAK,3,1
CHW,SEA,1,2
CHW,TB,1,2
CHW,TEX,4,2
CHW,TOR,5,1
CHW,NL,6,7
CLE,BAL,1,5
CLE,BOS,2,3
CLE,CHW,7,2
CLE,DET,11,1
CLE,HOU,1,2
CLE,KC,8,5
CLE,LAA,2,1
CLE,MIN,4,8
CLE,NYY,1,3
CLE,OAK,3,0
CLE,SEA,3,4
CLE,TB,5,1
CLE,TEX,1,2
CLE,TOR,2,2
CLE,NL,9,6
DET,BAL,1,3
DET,BOS,3,0
DET,CHW,8,4
DET,CLE,1,11
DET,HOU,4,2
DET,KC,4,6
DET,LAA,1,2
DET,MIN,7,2
DET,NYY,3,3
DET,OAK,4,3
DET,SEA,4,0
DET,TB,6,1
DET,TEX,0,3
DET,TOR,3,4
DET,NL,10,4
HOU,BAL,3,0
HOU,BOS,2,5
HOU,CHW,3,3
HOU,CLE,2,1
HOU,DET,2,4
HOU,KC,3,4
HOU,LAA,11,1
HOU,MIN,2,1
HOU,NYY,2,4
HOU,OAK,7,6
HOU,SEA,8,5
HOU,TB,1,2
HOU,TEX,1,9
HOU,TOR,1,2
HOU,NL,8,4
KC,BAL,2,4
KC,BOS,2,1
KC,CHW,7,2
KC,CLE,5,8
KC,DET,6,4
KC,HOU,4,3
KC,LAA,1,5
KC,MIN,5,1
KC,NYY,1,3
KC,OAK,1,2
KC,SEA,3,4
KC,TB,5,1
KC,TEX,1,6
KC,TOR,0,3
KC,NL,8,9
LAA,BAL,2,4
LAA,BOS,3,4
LAA,CHW,5,2
LAA,CLE,1,2
LAA,DET,2,1
LAA,HOU,1,11
LAA,KC,5,1
LAA,MIN,2,4
LAA,NYY,0,4
LAA,OAK,8,4
LAA,SEA,4,2
LAA,TB,3,4
LAA,TEX,7,6
LAA,TOR,0,0
LAA,NL,6,9
MIN,BAL,1,5
MIN,BOS,3,4
MIN,CHW,3,9
MIN,CLE,8,4
MIN,DET,2,7
MIN,HOU,1,2
MIN,KC,1,5
MIN,LAA,4,2
MIN,NYY,2,5
MIN,OAK,2,4
MIN,SEA,3,0
MIN,TB,1,3
MIN,TEX,5,2
MIN,TOR,1,3
MIN,NL,6,9
NYY,BAL,5,5
NYY,BOS,3,6
NYY,CHW,3,3
NYY,CLE,3,1
NYY,DET,3,3
NYY,HOU,4,2
NYY,KC,3,1
NYY,LAA,4,0
NYY,MIN,5,2
NYY,OAK,4,3
NYY,SEA,1,2
NYY,TB,4,5
NYY,TEX,3,4
NYY,TOR,2,7
NYY,NL,7,9
OAK,BAL,1,2
OAK,BOS,0,3
OAK,CHW,1,3
OAK,CLE,0,3
OAK,DET,3,4
OAK,HOU,6,7
OAK,KC,2,1
OAK,LAA,4,8
OAK,MIN,4,2
OAK,NYY,3,4
OAK,SEA,4,5
OAK,TB,5,2
OAK,TEX,6,4
OAK,TOR,3,3
OAK,NL,5,9
SEA,BAL,6,1
SEA,BOS,3,3
SEA,CHW,2,1
SEA,CLE,4,3
SEA,DET,0,4
SEA,HOU,5,8
SEA,KC,4,3
SEA,LAA,2,4
SEA,MIN,0,3
SEA,NYY,2,1
SEA,OAK,5,4
SEA,TB,4,2
SEA,TEX,4,8
SEA,TOR,2,1
SEA,NL,11,6
TB,BAL,3,9
TB,BOS,4,5
TB,CHW,2,1
TB,CLE,1,5
TB,DET,1,6
TB,HOU,2,1
TB,KC,1,5
TB,LAA,4,3
TB,MIN,3,1
TB,NYY,5,4
TB,OAK,2,5
TB,SEA,2,4
TB,TEX,0,0
TB,TOR,6,4
TB,NL,7,10
TEX,BAL,3,3
TEX,BOS,3,3
TEX,CHW,2,4
TEX,CLE,2,1
TEX,DET,3,0
TEX,HOU,9,1
TEX,KC,6,1
TEX,LAA,6,7
TEX,MIN,2,5
TEX,NYY,4,3
TEX,OAK,4,6
TEX,SEA,8,4
TEX,TB,0,0
TEX,TOR,3,4
TEX,NL,7,4
TOR,BAL,7,6
TOR,BOS,7,6
TOR,CHW,1,5
TOR,CLE,2,2
TOR,DET,4,3
TOR,HOU,2,1
TOR,KC,3,0
TOR,LAA,0,0
TOR,MIN,3,1
TOR,NYY,7,2
TOR,OAK,3,3
TOR,SEA,1,2
TOR,TB,4,6
TOR,TEX,4,3
TOR,NL,13,7
